name,latitude,longitude,color,family,country
!Xoon [nmn],-24,21.5,#998D5C,Tuu,Botswana
/Xam [xam],-30.34,21.82,#9D8662,Tuu,South Africa
||Ani [hnh],-19.3,22.5,#66877D,Khoe,Botswana
||Gana [gnk],-19,22.5,#677F6B,Khoe,Botswana
Aari [aiw],6,36.6,#348D6C,Afro-Asiatic,Ethiopia
Abipon [axb],-26,-61,#9C4968,Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#534768,North-west Caucasus,Georgia
Abma [app],-15.75,168.083,#A86C80,Austronesian,Vanuatu
Abui [abz],-8.417,124.6,#B05CAA,Timor-Alor-Pantar,Indonesia
Abun [kgr],-0.833,132,#CBB684,West Papuan,Indonesia
Acehnese [ace],5.333,96.167,#DFA071,Austronesian,Indonesia
Achumawi [acv],41.5,-121,#6E529A,Palaihnihan,USA
Adyghe [ady],44.1,39.08,#2D5384,North-west Caucasus,Russia
Adynyamathanha [adt],-31,139.5,#4B83B5,Pama-Nyungan,Australia
Adzera [azr],-6.417,146.25,#B88498,Austronesian,Papua New Guinea
Agarabi [agd],-6.25,145.917,#2445BC,Trans New Guinea,Papua New Guinea
Aghem [agq],6.39,10.12,#C28F57,Niger-Kongo,Cameroon
Agta [agt],17.967,121.833,#C18C6D,Austronesian,Philippines
Aguaruna [agr],-5.25,-78,#4A4692,Jivaroan,Peru
Agutaynen [agn],11.15,120.95,#B1628E,Austronesian,Philippines
Ai-cham_Diwo [aih],25.8,107,#E5EE7B,Tai-Kadai,China
Ainu [ain],43.5,142,#8C5390,Ainu,Japan
Aka [hru],27.2,92.9,#4D9188,Tibeto-Burman,India
Akan [aka],6.5,-1.25,#AA658B,Niger-Kongo,Ghana
Akha [ahk],20.3,99.6,#91C7A5,Tibeto-Burman,Thailand
Akkadian [akk],33.1,44,#615144,Afro-Asiatic,Iraq
Alabama [akz],32.7,-86.1,#5F29AB,Muskogean,USA
Alamblak [amp],-4.667,143.25,#635579,Sepik,Papua New Guinea
Albanian Tosk [als],40.5,20,#757B14,Indo-European,Albania
Aleut [ale],54,-166,#2F588E,Eskimo-Aleut,USA
Alune [alp],-3.167,128.333,#C64CA2,Austronesian,Indonesia
Alyawarr [aly],-24.6,134.5,#5C98BC,Pama-Nyungan,Australia
Amarasi [aaz],-10.08,124.33,#CC637E,Austronesian,Indonesia
Ambae_West [omb],-15.5,167.75,#C0628F,Austronesian,Vanuatu
Ambai [amk],-1.917,136.733,#CA6983,Austronesian,Indonesia
Ambonese Malay [abs],-3.7,128.2,#D2BF81,Austronesian,Indonesia
Amdo [adx],36,94,#47C6B7,Tibeto-Burman,China
Amele [aey],-5.25,145.75,#8D638F,Trans New Guinea,Papua New Guinea
Amharic [amh],10,38,#495930,Afro-Asiatic,Ethiopia
Amis [ami],23.333,121.333,#B17B79,Austronesian,Taiwan
Amoy [nan],24.5,118,#A5D767,Tibeto-Burman,China
Anejom [aty],-20.25,169.833,#D06B96,Austronesian,Vanuatu
Anem [anz],-5.667,149,#BE828F,Anem,Papua New Guinea
Angas [anc],9.75,8.75,#D19C6E,Afro-Asiatic,Nigeria
Anguthimri [xxx-3],-12.333,141.833,#4CA8A4,Pama-Nyungan,Australia
Anindilyagwa [aoi],-14,136.5,#7A4C99,Anindilyagwa,Australia
Anong [nun],27.2,98.8,#6AC682,Tibeto-Burman,China
Ao [njo],27,95,#5EC0C1,Tibeto-Burman,India
Apalai [apy],0,-54,#7829AD,Cariban,Brazil
Apatani [apt],27.4,93.8,#49BC8D,Tibeto-Burman,India
Apurinã [apu],-9,-67,#904471,Arawak,Brazil
Arabana [ard],-28,137,#38A9AB,Pama-Nyungan,Australia
Arabic [arb],30,42,#8E3B2B,Afro-Asiatic,Saudi Arabia
Arabic_Abha [acw-4],18.22,42.51,#983729,Afro-Asiatic,Saudi Arabia
Arabic_Afghanistan [acm-3],36.7,67.12,#625A3F,Afro-Asiatic,Afghanistan
Arabic_Basra [acm],30.5,47.825,#81633F,Afro-Asiatic,Iraq
Arabic_Bukhara [abh],39.77,64.43,#4F6838,Afro-Asiatic,Uzbekistan
Arabic_Egyptian [arz],30,30,#B23F32,Afro-Asiatic,Egypt
Arabic_Gulf [afb],24,54,#9F5430,Afro-Asiatic,United Arab Emirates
Arabic_Harb [acw-5],25.81,42.87,#9C4F1B,Afro-Asiatic,Saudi Arabia
Arabic_Khuzestan [acm-2],31.33,48.69,#9E4424,Afro-Asiatic,Iran
Arabic_Moroccan [ary],34,-7,#A23A24,Afro-Asiatic,Morocco
Arabic_Sudanese [apd],15.5,32.56,#A24637,Afro-Asiatic,Sudan
Arabic_Syrian [apc],33,37,#A04821,Afro-Asiatic,Syria
Arabic_Tunisian [aeb],36,10,#843E29,Afro-Asiatic,Tunisia
Arandai [jbj],-2.17,133,#53519F,Trans New Guinea,Indonesia
Araona  [aro],-12.333,-67.75,#5850A5,Tacanan,Bolivia
Archi [aqc],42.07,46.86,#26626E,Nakh-Daghestanian,Russia
Arguni [agf],-2.667,132.5,#C090A6,Austronesian,Indonesia
Arizona Tewa [tew],35.8,-110.4,#6452A5,Kiowa-Tanoan,USA
Armenian [hye],40,45,#417A2E,Indo-European,Armenia
Arop-Lokep [apr],-5.333,147.083,#BA749F,Austronesian,Papua New Guinea
Arrernte_Central [are],-22.85,133.7,#5394C3,Pama-Nyungan,Australia
Arrernte_Mparntwe [aer],-24,136,#639AB3,Pama-Nyungan,Australia
Asheninka_Apurucayali [cpc],-10.018,-74.793,#783E8C,Arawak,Peru
Asmat [asc],-5.167,138.5,#6F4D9F,Trans New Guinea,Indonesia
Assamese [asm],26.5,93,#289E4E,Indo-European,India
Ata [ata],-5.667,151,#BC3691,Ata,Papua New Guinea
Atayal [tay],24.5,121,#BD8480,Austronesian,Taiwan
Athpare [aph],26.75,87.33,#3A5887,Tibeto-Burman,Nepal
Atong [aot],25.5,90.5,#4BAA92,Tibeto-Burman,India
Atsugewi [atw],40.75,-121,#645F8A,Palaihnihan,USA
Awa [awb],-6.75,145.667,#34559A,Trans New Guinea,Papua New Guinea
Awa Pit [kwi],0.75,-78.5,#34715B,Barbacoan,Ecuador
Awar [aya],-4,144.625,#5FB1A9,Lower Sepik-Ramu,Papua New Guinea
Awtuw [kmn],-3.5,141.917,#51A39E,Sepik,Papua New Guinea
Aymara [ayr],-16,-69.5,#536475,Aymaran,Peru
Azerbaijani [azj],40.5,48.5,#26975A,Turkic,Azerbaijan
Azeri [azb],40.67,47.75,#238E49,Turkic,Azerbaijan
Baagandji [drl],-32,142.533,#407093,Pama-Nyungan,Australia
Babungo [bav],6.12,10.42,#BE9E5A,Niger-Kongo,Cameroon
Badimaya [bia],-27.667,120,#42A4AC,Pama-Nyungan,Australia
Bafut [bfd],6.083,10.0999,#AA7652,Niger-Kongo,Cameroon
Bagirmi [bmi],10.2,17,#BE8F83,Nilo-Saharan,Chad
Bagri [bgq],29.6,74.3,#249833,Indo-European,India
Bahing [bhj],27.27,86.56,#347CAD,Tibeto-Burman,Nepal
Bahnar [bdq],14,108.5,#DFD482,Austroasiatic,Vietnam
Bai [bca],26,100,#87C278,Tibeto-Burman,China
Bajau_Semporna [ssb],4.5,118.5,#DE8180,Austronesian,Indonesia
Balangao [blw],17.167,120.333,#C98084,Austronesian,Philippines
Balanta [ble],12,-15,#C7487D,Niger-Kongo,Guinea Bissau
Balantak [blz],-0.82,123.431,#CF7B96,Austronesian,Indonesia
Balinese [ban],-8.583,115.25,#E6B381,Austronesian,Indonesia
Balochi [bgp-2],27,63.5,#369D54,Indo-European,Pakistan
Balti [bft],35.2,76,#23B895,Tibeto-Burman,Pakistan
Bambara [bam],12.5,-7.5,#848E81,Mande,Mali
Banda [bnd],-5.25,133.17,#CA7EA0,Austronesian,Indonesia
Bandjalang [bdy],-28.75,153,#4AA194,Pama-Nyungan,Australia
Bandjalang-Gidabal [bdy-3],-28.25,152,#5596A3,Pama-Nyungan,Australia
Banggai [bgz],-1.42,123.17,#C36989,Austronesian,Indonesia
Banggime [dbb],14.78,-3.76,#92A19F,Banggime,Mali
Banjar [bjn],-2.5,115.5,#DDAA72,Austronesian,Indonesia
Bankariya [cdm-2],27.5,85,#329D95,Tibeto-Burman,Nepal
Bantawa [bap],27.2,87.1,#2565B5,Tibeto-Burman,Nepal
Baoan [peh],35.5,102,#3FBB82,Mongolic,China
Barai [bbb],-9.417,148,#74558E,Trans New Guinea,Papua New Guinea
Baram [brd],27.95,85,#34C8A3,Tibeto-Burman,Nepal
Barang-barang [lji],-6.4,120.5,#DD6A8A,Austronesian,Indonesia
Barasano [bsn],-0.25,-70.75,#4B587E,Tucanoan,Colombia
Bardi [bcj],-16.58,122.92,#6E68A8,Nyulnyul,Australia
Bari [bfa],3.8,31,#BF8A6E,Nilo-Saharan,South Sudan
Barupu [wra],-3.083,142.083,#A74DA0,Skou,Papua New Guinea
Bashkir [bak],53,58,#27995B,Turkic,Russia
Basque [eus],43.2,-3,#4B6F5D,Basque,Spain
Batuley [bay],-5.8,134.75,#D5638F,Austronesian,Indonesia
Bawm [bgr],22.5,92.25,#78AA9B,Tibeto-Burman,India
Begak [dbj-2],5.25,118.833,#CA8D9D,Austronesian,Malaysia
Beja [bej],18,36,#425452,Afro-Asiatic,Sudan
Belarussian [bel],54,27,#53830F,Indo-European,Belarus
Belhare [byw],27,87.25,#2B61BA,Tibeto-Burman,Nepal
Bemba [bem],-11,31,#B0616D,Niger-Kongo,Zambia
Bembe [bmb],-4,14,#B55A60,Niger-Kongo,Democratic Republic of the Congo
Bende [bdp],-6,30.5,#BF5766,Niger-Kongo,Tanzania
Bengali [ben],22.5,90,#2B9D3D,Indo-European,Bangladesh
Berik [bkl],-2.25,138.92,#5E7492,Trans New Guinea,Indonesia
Betta_Kurumba [xub],11.58,76.55,#0C748B,Dravidian,India
Bhojpuri [bho],26.8,85.3,#239735,Indo-European,India
Biak [bhw],-1,136,#C66F81,Austronesian,Indonesia
Bih [rad-2],12.48,108.025,#E1DD7F,Austronesian,Vietnam
Bijago [bjg],11.28,-15.83,#AA4F71,Niger-Kongo,Guinea Bissau
Bikol [bcl],13.333,123.5,#CA81A1,Austronesian,Philippines
Biloxi [bll],32.25,-90,#6D3DBA,Siouan,USA
Bilua [blb],-7.75,156.667,#934E7B,Solomons East Papuan,Solomons
Binandere [bhg],-8.167,147.917,#5E869B,Trans New Guinea,Papua New Guinea
Bininj Gun-Wok [gup],-12.5,133.75,#8E4690,Gunwinyku,Australia
Biri [bzr],-20.5,146.5,#50958E,Pama-Nyungan,Australia
Blackfoot [bla],50,-112.67,#85139A,Algic,Canada
Blang [blr],23.3,100,#E3C992,Austroasiatic,China
Bobongko [bgb],-0.5,121.75,#D98298,Austronesian,Indonesia
Bokar [adi-2],29,94.35,#64C8A4,Tibeto-Burman,India
Bontok [bnc],17.083,120.917,#CC7F7F,Austronesian,Philippines
Bouyei_west [pcc-2],25.75,107.333,#E8D394,Tai-Kadai,China
Brag-g.yab [khg-2],30.65,97.55,#27C98C,Tibeto-Burman,China
Brahui [brh],29,67,#3C7852,Dravidian,Pakistan
Brao [brb],14,107,#DFE07C,Austroasiatic,Vietnam
Breton [bre],48,-3.5,#965511,Indo-European,France
Bribri [bzd],9.5,-83,#858B98,Chibchan,Costa Rica
Brokpa [sgt],27.33,92,#3CAEA2,Tibeto-Burman,Bhutan
Bugan [bbh],23.75,105,#D5C98A,Austroasiatic,China
Bugis [bug],-4,120,#D58277,Austronesian,Indonesia
Bugun [bgn],27.3,92.35,#4CAE84,Kho-Bwa,India
Buin [buo],-6.75,155.833,#584499,East Bougainville,Papua New Guinea
Bukiyip_Arapesh [ape],-3.667,142.5,#A9666E,Torricelli,Papua New Guinea
Bularnu [yil],-21.5,137.5,#4FB19F,Pama-Nyungan,Australia
Bulgarian [bul],43,25,#6C7F0D,Indo-European,Bulgaria
Bumbita_Arapesh [aon],-3.667,142.833,#B66585,Torricelli,Papua New Guinea
Bumthang [kjz],27.8,90.8,#36D5A2,Tibeto-Burman,Bhutan
Bumthang_Ura [kjz-2],27.48,90.905,#37C5B3,Tibeto-Burman,Bhutan
Bunan [bfu],32.61,76.91,#2B997A,Tibeto-Burman,India
Bunaq [bfn],-9.1,125.15,#B06FA6,Timor-Alor-Pantar,Indonesia
Bunun [bnn],23.5,121,#CE718F,Austronesian,Taiwan
Burarra [bvr],-12.25,134.667,#8051AE,Maningrida,Australia
Burmese [mya],20,96,#69C2AE,Tibeto-Burman,Myanmar
Burmese_Myeik [mya-2],12.43,98.6,#6ACE86,Tibeto-Burman,Myanmar
Buru [mhs],-3.5,126.5,#D0B19E,Austronesian,Indonesia
Burushaski [bsk],36.5,74.5,#186755,Burushaski,Pakistan
Buryat [bxm],52,108,#257C56,Mongolic,Russia
Buyang [yha],24,104.8,#DED588,Tai-Kadai,China
Buyuan Jino [jiy],22.05,101,#81D5A2,Tibeto-Burman,China
Byansi [bee],30.17,80.5,#31B274,Tibeto-Burman,India
Caddo [cad],33.33,-93.5,#661EA5,Caddoan,USA
Cahuilla [chl],33.75,-117.75,#533F82,Uto-Aztecan,USA
Cakchiquel [ckf],14.5,-91,#944B41,Mayan,Guatemala
Camling [rab],27.3,86.8,#3261A5,Tibeto-Burman,Nepal
Campa [cni],-12,-74,#854D7E,Arawak,Peru
Canela-Krahô [ram],-6.5,-45,#9B88AB,Macro-Je,Brazil
Cantonese [yue],22.333,114,#A0D277,Tibeto-Burman,China
Capanahua [kaq],-7,-74,#396195,Panoan,Peru
Car [caq],9.167,92.75,#ADAB6B,Austroasiatic,India
Carib [car],7.85,-59,#67488B,Cariban,Guyana
Catalan [cat],41.4,2.3,#7C860C,Indo-European,Spain
Cayuvava [cyb],-12.5,-67,#B34163,Cayuvava,Bolivia
Cebuano [ceb],10,124,#BE8086,Austronesian,Philippines
Chadong [cdy],25.2,110.2,#BFE589,Tai-Kadai,China
Cham_Eastern [cjm],11.333,108.5,#DAD78A,Austronesian,Vietnam
Cham_Western [cja],12,105.5,#E1D283,Austronesian,Cambodia
Chamorro [cha],13.583,145,#CB7D67,Austronesian,Guam
Chantyal [chx],28.75,83.5,#2FCE98,Tibeto-Burman,Nepal
Chechen [che],43.13,45.54,#257B65,Nakh-Daghestanian,Russia
Chemehuevi [ute-3],34.33,-115.17,#4C6F7B,Uto-Aztecan,USA
Chepang [cdm],28.05,83.92,#40A29C,Tibeto-Burman,Nepal
Cherokee [chr],35.5,-83.5,#7E37A8,Iroquoian,USA
Chickasaw [cic],34,-88,#7C49A6,Muskogean,USA
Chimariko [cid],41,-123,#54458B,Chimariko,USA
Chin_Daai [dao],21.1,93.65,#75A0A2,Tibeto-Burman,Myanmar
Chin_Falam [cfm],22.9,93.67,#5F8897,Tibeto-Burman,Myanmar
Chin_Tiddim [ctd],23.333,93.667,#90A4BB,Tibeto-Burman,Myanmar
Chinook [chh],46,-124,#92376B,Chinook,USA
ChiNyanja [nya],-15,35,#C7635F,Niger-Kongo,Malawi
Chiricahua [apm],33.5,-108,#81397A,Dene-Yeniseic,USA
Chitimacha [ctm],29.67,-91,#665394,Totozoquean-Chitimacha,USA
Chittagong [ben-2],22.37,91.8,#2ABB41,Indo-European,Bangladesh
Chöcangacakha [cgk],27.5,90.88,#3ED0A1,Tibeto-Burman,Bhutan
Choctaw [cho],32.25,-88.5,#7448A9,Muskogean,USA
Cholon [cht],-8,-77.5,#633E8E,Cholon,Peru
Chontal [chd],18.17,-92.58,#935F3F,Mayan,Mexico
Chrau [crw],10.667,107.5,#E1D389,Austroasiatic,Vietnam
Chukchi [ckt],67,-173,#4E778E,Chukotko-Kamchatkan,Russia
Chumash [boi],34.67,-120.25,#8C505C,Chumash,USA
Chuvash [chv],55.5,47.5,#1A7F77,Turkic,Russia
CiLuba [lua],-6,22,#C94956,Niger-Kongo,Democratic Republic of the Congo
Classical Malay [xxx-96],2.2,102.5,#D89D6E,Austronesian,Malaysia
Coahuilteco [xxx-6],28,-100,#6935A1,Coahuilteco,USA
Cocopa [coc],32.5,-115,#5A28AF,Yuman-Cochimi,USA
Coeur d'Alene [crd],47.33,-117,#953971,Salish,USA
Cogtse Gyarong [jya],32.1,100.9,#52737D,Tibeto-Burman,China
Comanche [com],33.5,-101.5,#4A5D82,Uto-Aztecan,USA
Comox [coo],49.75,-125,#8B3556,Salish,Canada
Coos [csz],43.5,-124.17,#793B5D,Coos,USA
Cora [crn],23.333,-99,#713063,Uto-Aztecan,Mexico
Cornish [cor],50.5,-4.5,#967C27,Indo-European,Britain
Cree_Plains [crk],54,-116,#9C318D,Algic,Canada
Cree_Woods [cwd],58,-102,#8A3981,Algic,Canada
Creek [mus],30.41,-85.2,#582DB2,Muskogean,USA
Crow [cro],45.5,-108,#7A2AB0,Siouan,USA
Cua [cua],15.167,108.667,#D7E17D,Austroasiatic,Vietnam
Cubeo [cub],1.33,-70.5,#3C537E,Tucanoan,Colombia
Cupeño [cup],33.17,-116.5,#2C4487,Uto-Aztecan,USA
Czech [ces],50,14.5,#487D1D,Indo-European,Czech Republic
Dadua [gal-2],-8.135,125.638,#CB717A,Austronesian,Timor leste
Daga [dgz],-10,149.25,#815696,Trans New Guinea,Papua New Guinea
Dagaare [dga],11.5,-2.5,#B7AF78,Niger-Kongo,Burkina Faso
Dagur [dta],48,124,#3CA152,Mongolic,China
Dakpa [dka],27.75,91.5,#42C994,Tibeto-Burman,Bhutan
Damal [uhn],-4,137.5,#4F59B6,Damal,Indonesia
Damar_West [drn],-7,128.5,#B9618B,Austronesian,Indonesia
Dameli [dml],35.375,71.693,#20893C,Indo-European,Pakistan
Damin [xxx-7],-16.4,139.35,#5E9D99,Tangkic,Australia
Dani [dni],-4,138.917,#583FC1,Trans New Guinea,Indonesia
Danish [dan],56,10,#73A726,Indo-European,Denmark
Darai [dry],27.85,84.1,#24935C,Indo-European,Nepal
Darma [drd],29.84,80.517,#449BA3,Tibeto-Burman,India
Dekwana [mch],4.5,-63.5,#66329A,Cariban,Venezuela
Denaina [tfn],62,-150,#8931A5,Dene-Yeniseic,USA
Denjongkha [sip],27.5,88.5,#6DE08E,Tibeto-Burman,India
Dhao [nfa],-10.83,122.75,#D6797D,Austronesian,Indonesia
Dharawal [tbh],-34.5,150.5,#5BC0B9,Pama-Nyungan,Australia
Dharuk [xxx-8],-33.1,151.75,#4277B4,Pama-Nyungan,Australia
Dharumbal [bjy],-22.75,150,#55A7AF,Pama-Nyungan,Australia
Dhimal [dhi],26.6,86.75,#339C77,Tibeto-Burman,Nepal
Didinga [did],4.33,33.6,#904B68,Nilo-Saharan,Sudan
Diegueño [dih],32.67,-116.17,#613CA3,Yuman-Cochimi,USA
Digaru Mishmi [mhu],28.2,96.2,#3CA394,Tibeto-Burman,India
Dimasa [dis],25.33,93,#5598A5,Tibeto-Burman,India
Dime [dim],6.25,36.33,#3D9550,Afro-Asiatic,Ethiopia
Dimili [diq],38,40,#308537,Indo-European,Turkey
Dingri [bod-4],28.567,86.633,#3DBCA4,Tibeto-Burman,China
Diola [dyo],13,-16,#C64F6C,Niger-Kongo,Senegal
Diyari [dif],-28,139,#5F87B6,Pama-Nyungan,Australia
Djabugay [dyy],-16.65,145.5,#49AEA4,Pama-Nyungan,Australia
Djambarrpuyngu [djr],-12,135.5,#58A7B1,Pama-Nyungan,Australia
Djapu [duj],-12.667,136,#65A0A6,Pama-Nyungan,Australia
Djaru [ddj],-18.75,128,#5598B3,Pama-Nyungan,Australia
Djinang [dji],-12.5,134.833,#53A4A1,Pama-Nyungan,Australia
Djingili [jig],-17.25,133.833,#686AA3,Mirndi,Australia
Dobel [kvo],-6.083,134.5,#BF499B,Austronesian,Indonesia
Dogon [dbu],14.5,-2.5,#6165A4,Niger-Kongo,Mali
Dohoi [otd],-0.5,113,#D86A77,Austronesian,Indonesia
Dolpo [dre],29,83,#44BDC5,Tibeto-Burman,Nepal
Dom [doa],-6,144.917,#6F6BAE,Trans New Guinea,Papua New Guinea
Dong [doc],26,109,#D2D87F,Tai-Kadai,China
Dongwang [khg],28.25,99.55,#45CAA8,Tibeto-Burman,China
Doutai [tds],-3.25,138.25,#76A693,Lakes Plains,Indonesia
Doyayo [dow],8.67,13.08,#B5557B,Adamawa-Ubangi,Cameroon
Drehu [dhv],-21,167.083,#D6A55F,Austronesian,New Caledonia
Drokpa [bod-5],29.05,84.5,#2FC5B3,Tibeto-Burman,China
Dulong [duu],28,98.333,#58A8A9,Tibeto-Burman,China
Dumaki [dmk],36.167,74,#2DAC3E,Indo-European,Pakistan
Dumi [dus],27.25,86.67,#3D81A9,Tibeto-Burman,Nepal
Dumo [vam],-2.667,141.25,#AF788E,Skou,Papua New Guinea
Dura [drq],28.5,84.25,#3DCC77,Tibeto-Burman,Nepal
Dutch [nld],52,7,#6F8910,Indo-European,Netherlands
Dyirbal [dbl],-17.583,145.5,#6BA1AB,Pama-Nyungan,Australia
Dzongkha [dzo],27.5,89.5,#2FAC97,Tibeto-Burman,Bhutan
Edolo [etr],-6.083,142.667,#4F6DB0,Trans New Guinea,Papua New Guinea
Ejagham [etu],5.6,9,#AC7374,Niger-Kongo,Cameroon
Ekagi [ekg],-3.917,136.25,#694BA8,Trans New Guinea,Indonesia
Elopi [dbf],-3.083,137.333,#9EADAA,Lakes Plains,Indonesia
Embaloh [emb],1.1628,112.37,#EB6F96,Austronesian,Indonesia
Embera_Baudo [bdc],5.2,-76.8,#6C9C96,Chocoan,Colombia
Enggano [eno],-5.333,102.25,#D06B73,Austronesian,Indonesia
English [eng],52,0,#748D03,Indo-European,Britain
Erzgebirgisch [nds-3],50.58,13,#66761C,Indo-European,Germany
Estonian [est],59,25,#5B942B,Uralic,Estonia
Eton [eto],4,11.5,#C65B60,Niger-Kongo,Cameroon
Even [eve],68,130,#397A91,Tungusic,Russia
Evenki [evn],56,125,#307E81,Tungusic,Russia
Ewe [ewe],6,1,#C07F66,Niger-Kongo,Ghana
Eyak [eya],60.5,-145,#61468E,Dene-Yeniseic,USA
Fang [fan],0.5,11,#C45656,Niger-Kongo,Equatorial Guinea
Faroese [fao],61.5,-7,#5EA60A,Indo-European,Denmark
Farsi [pes],32,54,#6E6B2E,Indo-European,Iran
Fasu [faa],-6.417,143.167,#4266B5,Trans New Guinea,Papua New Guinea
Fijian [fij],-18,178.333,#C9777D,Austronesian,Fiji
Finnish [fin],62,25,#5A8631,Uralic,Finland
Fordata [frd],-7.17,131.5,#D467A7,Austronesian,Indonesia
Fore [for],-6.75,145.5,#3E3EA6,Trans New Guinea,Papua New Guinea
French [fra],48,3,#849303,Indo-European,France
Frisian [frs],53.2,5.76,#6D9E14,Indo-European,Netherlands
Fula [fuh],11.5,-12.5,#B35576,Niger-Kongo,Guinea
Fulniô [fun],-8.2,-37.3,#5555A9,Macro-Je,Brazil
