name,latitude,longitude,color,family,country
Fur [fvr],13,25,#699C8B,Nilo-Saharan,Sudan
Futuna_West [fut-2],-19.667,170.667,#C3A779,Austronesian,Vanuatu
Fuyuge [fuy],-8.667,147.333,#6C8B9F,Trans New Guinea,Papua New Guinea
Fuzhou [cdo],26.5,119,#95D976,Tibeto-Burman,China
Ga'anda [gqa],10.33,12.58,#AE5B75,Afro-Asiatic,Nigeria
Gaagudju [gbu],-12.583,132.833,#9453A6,Gaagudju,Australia
Gaahmg [tbi-2],11.767,34.35,#B7835B,Nilo-Saharan,Sudan
Gabigabi [xxx-11],-25.5,153,#5CB8B9,Pama-Nyungan,Australia
Gadsup [gaj],-6.333,146,#3D519D,Trans New Guinea,Papua New Guinea
Gahuku [gah],-6.083,145.4,#383A97,Trans New Guinea,Papua New Guinea
Galela [gbi],2,128.417,#BE61AB,West Papuan,Indonesia
Galo [adi],28,94.75,#5997B4,Tibeto-Burman,India
Galolen [gal],-8.58,126,#C37593,Austronesian,Timor leste
Gamilaraay [kld-2],-31,149.5,#4DA697,Pama-Nyungan,Australia
Garawa [gbc],-17.25,137.667,#72959E,Wanyi-Garrwa,Australia
Garo [grt],26,90,#5997B6,Tibeto-Burman,India
Gathang [kda],-32,152.5,#51ADAD,Pama-Nyungan,Australia
Gayo [gay],4.55,96.95,#E08986,Austronesian,Indonesia
Gbaya-Kara [gya],6,15,#CB918B,Adamawa-Ubangi,Central African Republic
Gbaya-Mbodomo [mdo],4.5,15,#B28C67,Adamawa-Ubangi,Central African Republic
Gbeya_Bossangoa [gbp],6.67,17.5,#BB865D,Adamawa-Ubangi,Central African Republic
Gelao [gio],22.92,105.5,#CFDC7D,Tai-Kadai,China
Georgian [kat],41.72,44.78,#447B42,Kartvelian,Georgia
German [deu],50,10,#629504,Indo-European,Germany
German_Swiss [gsw],46.975,8.405,#649C1A,Indo-European,Switzerland
Ghale [ghe],28.25,84.9,#26C8A0,Tibeto-Burman,Nepal
Gikuyu [kik],-0.75,36.75,#C65566,Niger-Kongo,Kenya
Gitksan [git],55.33,-127.75,#9C606A,Tsimshian,Canada
Gojri [gju],33,76,#22903E,Indo-European,India
Golden Palaung [pll],22.97,97.17,#DDDC6A,Austroasiatic,Myanmar
Golin [gvf],-6.25,144.833,#6464B3,Trans New Guinea,Papua New Guinea
Gondi [gno],19,84.6,#16AC52,Dravidian,India
Gooniyandi [gni],-18.5,126.6,#8766AD,Bunuban,Australia
Gorontalo [gor],0.5,122,#D37C8B,Austronesian,Indonesia
Gorum [pcj],18.5,82.833,#385D80,Austroasiatic,India
Grebo [gry],5.3,-8,#9D9670,Niger-Kongo,Liberia
Greek [ell],38,23,#6A7905,Indo-European,Greece
Green_Hmong [hnj],28,105,#CBD155,Hmong-Mien,China
Greenlandic [kal],61,-48,#3A409F,Eskimo-Aleut,Greenland (Denmark)
Gtaq [gaq],18.633,83.5,#457197,Austroasiatic,India
Gtob [gbj],18.583,82.867,#466E95,Austroasiatic,India
Guajajara [gub],-5,-45,#A13FB6,Tupi,Brazil
Guajira [guc],12,-72,#B13F83,Arawak,Colombia
Guarani [gug],-23,-56,#9F5B91,Tupi,Paraguay
Gubeeher [bcb],12.5,-16.5,#BC4274,Niger-Kongo,Senegal
Gujarati [guj],23,72,#27A420,Indo-European,India
Gumbaynggir [kgs],-30.4,152.5,#5B8ABF,Pama-Nyungan,Australia
Gününa Yajich [xxx-41],-38,-62.5,#6E6D75,Chonan,Argentina
Gureng Gureng [gnr],-25.25,151,#5DA7A8,Pama-Nyungan,Australia
Gurr-goni [gge],-12.25,134.417,#7C5FAA,Maningrida,Australia
Gurung [gvr],28.333,84.333,#3ACFA7,Tibeto-Burman,Nepal
Guugu Yimidhirr [kky],-15,144.833,#52A9A5,Pama-Nyungan,Australia
Haa Zongkha [dzo-2],27.135,89.12,#3BD09A,Tibeto-Burman,Bhutan
Haida [hdn],53,-132,#778081,Haida,Canada
Hajong [haj],26.2,90.5,#36C08A,Indo-European,India
Hakha_Lai [cnh],22.667,93.667,#84ADA7,Tibeto-Burman,Myanmar
Hakka [hak],24.25,116.5,#A1CC72,Tibeto-Burman,China
Halkomelem [hur],49.5,-122.5,#8B225C,Salish,Canada
Hanga_Hundi [wos],-3.833,142.833,#417B74,Sepik,Papua New Guinea
Hangzhou [wuu-2],30.25,120.167,#9FD55E,Tibeto-Burman,China
Harsusi [hss],19.7,55.85,#7F621F,Afro-Asiatic,Oman
Hatam [had],-1,134,#B9819E,Hatam,Indonesia
Hausa [hau],12,7,#B96845,Afro-Asiatic,Nigeria
Hawaiian [haw],21,-157,#B0927E,Austronesian,USA
Hayu [vay],27.25,86,#4C93A0,Tibeto-Burman,Nepal
Hebrew [heb],31.75,35.17,#9D640A,Afro-Asiatic,Israel
Helong [heg],-10.25,123.67,#C97E8B,Austronesian,Indonesia
Herero [her],-21,20,#B95960,Niger-Kongo,Namibia
Hidatsa [hid],48,-110,#6C14BA,Siouan,USA
Hiligaynon [hil],10.25,123,#BF898C,Austronesian,Philippines
Hill_Madia [mrr],18.9,81.35,#1B757D,Dravidian,India
Hindi [hin],27,80,#2AA522,Indo-European,India
Hiw [hiw],-13.25,166.5,#C86F9E,Austronesian,Vanuatu
Hixkaryana [hix],1.5,-60,#803F76,Cariban,Brazil
Hkongso [mro],21.5,93,#99DA81,Tibeto-Burman,Myanmar
Hlai [lic],19.05,109.9,#C4E880,Tai-Kadai,China
Hlersu [hle],24.05,101.975,#75E090,Tibeto-Burman,China
Hmar [hmr],25,92.2,#56BF96,Tibeto-Burman,India
Ho [hoc],22,86,#526687,Austroasiatic,India
Hobyot [hoh],16.21,52.2,#805F29,Afro-Asiatic,Oman
Holoholo [hoo],-5.5,28.25,#BF6062,Niger-Kongo,Democratic Republic of the Congo
Hopi [hop],36,-110,#3D5A9F,Uto-Aztecan,USA
Hresuk [adb],-8.22,125.61,#D7A698,Austronesian,Timor leste
Hua [ygr],-6.333,145.3,#374E99,Trans New Guinea,Papua New Guinea
Huastec [hsf],22.08,-99.33,#A04C48,Mayan,Mexico
Huichol [hch],22,-104,#434A90,Uto-Aztecan,Mexico
Hungarian [hun],47,19,#609334,Uralic,Hungary
Hunzib [huz],42.16,46.23,#217F50,Nakh-Daghestanian,Russia
Hup [jup],0.167,-69.25,#518296,Nadahup,Brazil
Hupa [hup],41.08,-123.67,#7D4D95,Dene-Yeniseic,USA
I’saka [ksi],-2.9,141.4,#A147A5,Skou,Papua New Guinea
Iaai [iai],-20.417,166.417,#DA8367,Austronesian,New Caledonia
Iatmul [ian],-4.25,143.25,#3B6C91,Sepik,Papua New Guinea
Iau [tmu],-3.167,138,#8F9B9C,Lakes Plains,Indonesia
Iban [iba],2,112,#E8C486,Austronesian,Malaysia
Icelandic [isl],65,-19,#5FA008,Indo-European,Iceland
Idu Mishmi [clk],29,96,#5AAAA8,Tibeto-Burman,India
Ifugao_Batad [ifb],16.833,121.083,#C07C7C,Austronesian,Philippines
Igbo [ibo],6,7.33,#AB8578,Niger-Kongo,Nigeria
Iha [ihp],-2.8,132.35,#6552BD,Trans New Guinea,Indonesia
Ik [ikx],3.75,34.17,#7D8660,Nilo-Saharan,Uganda
Ika [arh],10.75,-73.5,#596A99,Chibchan,Colombia
Ilokano [ilo],16,121,#B97864,Austronesian,Philippines
Imonda [imn],-3.25,141.167,#73759A,Trans New Guinea,Papua New Guinea
Inanwatan [szp],-2.17,132,#7838B0,Trans New Guinea,Indonesia
Indonesian [ind],-2.5,104.75,#E39A75,Austronesian,Indonesia
Ingush [inh],42.97,44.77,#208C68,Nakh-Daghestanian,Russia
Iñupiaq [esi],68.13,-151.72,#2C469B,Eskimo-Aleut,USA
Irabu_Ryukyu [mvi-3],24.833,125.183,#2F9F99,Japonic,Japan
Iraqw [irk],-3.5,35,#8C7B5D,Afro-Asiatic,Tanzania
Irarutu [irh],-3,133.5,#CA5E89,Austronesian,Indonesia
Irish [gle],53,-7,#9A6B21,Indo-European,Ireland
Irula [iru],11,77,#128770,Dravidian,India
Italian [ita],43,14,#888A00,Indo-European,Italy
Itelmen [itl],57,157.5,#445A69,Chukotko-Kamchatkan,Russia
Ivatan_Southern [ivv],20.33,121.83,#C38C8E,Austronesian,Philippines
Izi [izi],6.332,8.104,#D2CD7E,Niger-Kongo,Nigeria
Jacaltec [jac],15.75,-91.75,#B03F64,Mayan,Guatemala
Jahai [jhi],5.9,101.5,#CA8478,Austroasiatic,Malaysia
Jambi Malay [jax],-1.75,103,#F39D82,Austronesian,Indonesia
Jaminjung [djd],-15.083,130.5,#4C53B8,Mirndi,Australia
Jamul Tiipay [dih-2],32.17,-116.5,#7D45A8,Yuman-Cochimi,USA
Japanese [jpn],37,140,#47996D,Japonic,Japan
Jaqaru [jqr],-12.85,-76,#346272,Aymaran,Peru
Javanese [jav],-7.5,110.667,#EBA776,Austronesian,Indonesia
Jebero [jeb],-5.2,-76.4,#6F418B,Cahuapanan,Peru
Jero [jee],27.2,86.25,#2885AC,Tibeto-Burman,Nepal
Jiaomuzu [qxs-2],32,102.03,#598C89,Tibeto-Burman,China
Jibbali [shv],17.2,54.9,#866012,Afro-Asiatic,Oman
Jingpho [kac],28,98,#94E996,Tibeto-Burman,Myanmar
Jirel [jul],27.65,86.23,#1DA28F,Tibeto-Burman,Nepal
Jivaro [jiv],-3,-78.25,#397568,Jivaroan,Ecuador
Jomang [tlo],10.58,30.5,#B5799E,Kordofanian,Sudan
Jru [lbo],15.333,106.333,#F1CB9C,Austroasiatic,Laos
Ju|'hoan [ktz],-19,21,#D1A97A,Kx'aa,Namibia
Juang [jun],21.167,85.833,#426685,Austroasiatic,India
Juba_Arabic [apd-2],4.85,31.6,#CFBC75,Afro-Asiatic,Sudan
Kabardian [kbd],43.52,43.63,#323789,North-west Caucasus,Russia
Kabyle [kab],36.5,5,#984029,Afro-Asiatic,Algeria
Kadazan [kzj],5.917,117.167,#C08B76,Austronesian,Malaysia
Kaera [xxx-111],-8.38,124.21,#A676B3,Timor-Alor-Pantar,Indonesia
Kagoshima [jpn-5],31.6,130.55,#3DA183,Japonic,Japan
Kaike [kzq],28.9,83.17,#27AEAC,Tibeto-Burman,Nepal
Kairiru [kxa],-3.417,143.583,#B863AA,Austronesian,Papua New Guinea
Kakua [cbv],1.08,-70,#264BA5,Nadahup,Brazil
Kala Lagaw Ya [mwp],-10.12,142.12,#4ACC95,Pama-Nyungan,Australia
Kalam [kmh],-5.25,144.583,#61749E,Trans New Guinea,Papua New Guinea
Kalami [gwc],35.48,72.59,#30A445,Indo-European,Pakistan
Kalasha [kls],35.73,71.75,#27904E,Indo-European,Pakistan
Kalkatungu [ktg],-21,139.5,#486CB3,Pama-Nyungan,Australia
Kalkoti [xka],21.91,78.72,#23A853,Indo-European,Pakistan
Kalmyk [xal],45,47,#3A9163,Mongolic,Russia
Kamang [woi],-8.25,124.833,#AB62BB,Timor-Alor-Pantar,Indonesia
Kamba [kam],-2,38,#C2585F,Niger-Kongo,Kenya
Kambera [xbr],-9.833,120.5,#E67A9C,Austronesian,Indonesia
Kambran [bed],-2.78,132.7,#B89098,Austronesian,Indonesia
Kamoro [kgq],-4.333,136,#5433C3,Trans New Guinea,Indonesia
Kanakuru [kna],10,12,#A27D59,Afro-Asiatic,Nigeria
Kanashi [xns],32,77.55,#3AB165,Tibeto-Burman,India
Kangri [xnr],31.5,77,#199549,Indo-European,India
Kannada [kan],14,76,#258E54,Dravidian,India
Kanoê [kxo],-12.5,-62.25,#5840A1,Kanoê,Brazil
Kanum [kcd],-8.583,140.75,#476178,South New Guinea,Indonesia
Kanuri [knc],11.25,14.25,#6F6571,Nilo-Saharan,Cameroon
Kapampangan [pam],15.333,120.5,#BE5B77,Austronesian,Philippines
Kapau [hmt],-7.667,146.167,#643A92,Trans New Guinea,Papua New Guinea
Karachay-Balkar [krc],44,42,#21954E,Turkic,Russia
Karaim [kdr],54.63,24.93,#599026,Turkic,Lithuania
Karajarri [gbd],-18.5,122.5,#4FAAB4,Pama-Nyungan,Australia
Karakalpak [kaa],43,60,#1E8E55,Turkic,Uzbekistan
Karas Laut [kgv],-3.6,132.667,#576D8A,Trans New Guinea,Indonesia
Karbi [mjw],26.2,93.5,#5296BD,Tibeto-Burman,India
Karen [bwe],17,98,#E2D494,Tibeto-Burman,Myanmar
Karen_Geba [kvq],19.02,96.58,#DEC57B,Tibeto-Burman,Myanmar
Karen_Pho [pwo],14.333,98.3,#D5E18D,Tibeto-Burman,Myanmar
Karen_Pho_Kyonbyaw [pwo-3],17.6,95.2,#E9C18A,Tibeto-Burman,Myanmar
Karen_Sgaw [ksw],17,94.833,#DDD384,Tibeto-Burman,Myanmar
Karo_Batak [btx],3,98.167,#CE7A6A,Austronesian,Indonesia
Karok [kyh],41.67,-123,#633893,Karok,USA
Kashmiri [kas],34,76,#228739,Indo-European,India
Kate [kmg],-6.5,147.833,#5E52B2,Trans New Guinea,Papua New Guinea
Katu [ktv],15.833,107.583,#D4D17C,Austroasiatic,Vietnam
Kaugel [ubu],-5.95,144.167,#4E62AB,Trans New Guinea,Papua New Guinea
Kaulong [pss],-6.25,150.5,#BF779C,Austronesian,Papua New Guinea
Kaure [bpp],-3.333,139.333,#414DA7,Trans New Guinea,Indonesia
Kawaiisu [xaw],36,-117.5,#664A6C,Uto-Aztecan,USA
Kayah_Li [eky],19,98,#B9C590,Tibeto-Burman,Myanmar
Kayardild [gyd],-17.05,139.5,#4A8CA3,Tangkic,Australia
Kazakh [kaz],50,70,#1C875F,Turkic,Kazakhstan
Kedang [ksx],-8.25,123.75,#CC819B,Austronesian,Indonesia
Kei [kei],-5.67,133.08,#C99195,Austronesian,Indonesia
Kéo [xxk],-8.83,121.25,#EDC07C,Austronesian,Indonesia
Kera [ker],9.83,15.08,#B8966F,Afro-Asiatic,Chad
Keraq [unr-2],24,85.2,#3A8086,Austroasiatic,India
Kerinci [kvr],-2.15,101.5,#BAAB71,Austronesian,Indonesia
Kesui [wah],-4.5,131.667,#CE69A4,Austronesian,Indonesia
Ket [ket],64,87,#776E5D,Dene-Yeniseic,Russia
Keuw [khh],-3.2,136.2,#9CB1C2,Keuw,Indonesia
Kewa [kew],-6.333,143.75,#508098,Trans New Guinea,Papua New Guinea
Khakas [kjh],53,90,#1D8B63,Turkic,Russia
Khalaj [klj],35,50,#3C8C4F,Turkic,Iran
Khaling [klr],27.6,86.7,#4385A2,Tibeto-Burman,Nepal
Khalkha [khk],47,105,#29A668,Mongolic,Mongolia
Kham [kgj],28.5,82.75,#2B8890,Tibeto-Burman,Nepal
Khanty [kca],65,65,#5E8674,Uralic,Russia
Kharia [khr],22.5,83.5,#40847E,Austroasiatic,India
Khasi [kha],26,92,#AEBB53,Austroasiatic,India
Khengkha [xkf],27.28,90.75,#41CCB4,Tibeto-Burman,Bhutan
Khmer [khm],12,105,#E9D996,Austroasiatic,Cambodia
Khmu [kjg],19,100.75,#DBD677,Austroasiatic,Thailand
Khowar [khw],36.5,72.5,#1C9252,Indo-European,Pakistan
Kija [gia],-17.5,127.75,#474AC6,Jarrakan,Australia
Kilivila [kij],-8.5,151,#D64F91,Austronesian,Papua New Guinea
Kiluba [lub],-8.5,26,#CD575A,Niger-Kongo,Democratic Republic of the Congo
Kimaama [kig],-8,139.583,#9881AC,Kolopom,Indonesia
Kinnauri [kfk],31.5,78.25,#3C996D,Tibeto-Burman,India
KinyaRwanda [kin],-2,30,#C0524B,Niger-Kongo,Rwanda
Kiowa [kio],37,-99,#723F8D,Kiowa-Tanoan,USA
Kirghiz [kir],42,75,#18825A,Turkic,Kyrgystan
Kiribati [gil],1.333,173,#E26B71,Austronesian,Kiribati
Kisi [kss],8.83,-10.17,#BF7776,Niger-Kongo,Guinea
Kitanemuk [xxx-43],34.5,-117.5,#65557C,Uto-Aztecan,USA
Klamath [kla],42.5,-121.5,#606C55,Oregon Penutian,USA
Klon [kyo],-8.417,124.417,#B87ABE,Timor-Alor-Pantar,Indonesia
Koasati [cku],34.83,-85.17,#613CA0,Muskogean,USA
Kobon [kpw],-5.167,144.417,#76739F,Trans New Guinea,Papua New Guinea
Kodagu [kfa],13.08,76.42,#229B5C,Dravidian,India
Koiwai [kwh],-4,134,#BA5995,Austronesian,Indonesia
Kokborok [trp],24.33,92.5,#2D94A6,Tibeto-Burman,India
Kokota [kkk],-8,159.25,#B77060,Austronesian,Solomons
Kola [kvv],-5.42,134.5,#D56790,Austronesian,Indonesia
Kolami [kfb],20,78.5,#1BAA4C,Dravidian,India
Kolana [kvw],-8.3,125.133,#A061B4,Timor-Alor-Pantar,Indonesia
Kolokuma [ijc],4.92,5.67,#4B7393,Niger-Kongo,Nigeria
Komo [xom],9,33.75,#BC7461,Nilo-Saharan,Democratic Republic of the Congo
Komodo [knh],-8.5,119.5,#E99980,Austronesian,Indonesia
Kongo [kng],-5,15,#D55B53,Niger-Kongo,Democratic Republic of the Congo
Konjo [kjc],-5.333,119.833,#D3697E,Austronesian,Indonesia
Konkani [knn],15.25,74.4,#23AF3E,Indo-European,India
Konso [kxc],5.4,37.5,#797365,Afro-Asiatic,Ethiopia
Korana [kqz],-26,22,#647267,Khoe,Botswana
Korean [kor],37,128,#45B26B,Korean,Korea
Korku [kfq],25,78.5,#3F926A,Austroasiatic,India
Koro [hru-2],27.25,92.8,#4B9F94,Tibeto-Burman,India
Koromfe [kfz],14.25,-0.92,#B4765F,Niger-Kongo,Burkina Faso
Korowai [khe],-5.417,140.25,#496C8B,Trans New Guinea,Indonesia
Kosraean [kos],5.3,163,#D38D73,Austronesian,USA Federated States of Micronesia
Koya [kff],17.5,81.333,#1CA04B,Dravidian,India
Koyi [kkt],27.4,86.9,#3172A8,Tibeto-Burman,Nepal
Koyra Chiini [khq],16.75,3.5,#B98D77,Nilo-Saharan,Mali
Kpelle [xpe],7,-10,#9C7665,Mande,Liberia
Krongo [kgo],10.5,30,#B07982,Kordofanian,Sudan
Ku Waru [xxx-14],-6,144.15,#4D69AE,Trans New Guinea,Papua New Guinea
Kuanua [ksd],-4.4,152.167,#C37E78,Austronesian,Papua New Guinea
Kui [kvd],-8.583,124.75,#A561BC,Timor-Alor-Pantar,Indonesia
Kui [kxu],20,83.5,#2BAA5A,Dravidian,India
Kukatj [xxx-38],-17.95,140.8,#5386A6,Pama-Nyungan,Australia
Kuke [ght],28.531,84.846,#3D949A,Tibeto-Burman,Nepal
Kuku Nganhcara [wua],-14.8,141.9,#6FA2B3,Pama-Nyungan,Australia
Kuku Yalanji [gvn],-16,145,#59B499,Pama-Nyungan,Australia
Kuman [kue],-5.917,144.917,#545FA3,Trans New Guinea,Papua New Guinea
Kumauni [kfy],30,80,#1AA73D,Indo-European,India
Kumzari [zum],26,56.3,#9C6A61,Indo-European,Oman
Kunama [kun],14.5,37,#726D8F,Nilo-Saharan,Eritrea
Kundal_Shahi [shd],34.55,73.84,#159B43,Indo-European,Pakistan
Kunjen [kjn],-16.5,142,#5CBBB2,Pama-Nyungan,Australia
Kuot [kto],-3.083,151.5,#B34772,Kuot,Papua New Guinea
Kupang Malay [mkn],-10.18,123.58,#DCB585,Austronesian,Indonesia
Kurdish [kmr],36,44,#6B5F33,Indo-European,Iraq
Kurtöp [xkz],27.83,91,#33CFA4,Tibeto-Burman,Bhutan
Kurux [kxl],26.5,87.35,#2C7B75,Dravidian,Nepal
Kusunda [kgg],28.33,83.1,#618D8B,Kusunda,Nepal
Kutenai [kut],49.5,-116,#A52D53,Kutenai,Canada
Kuuk Thaayorre [thd],-14,142.25,#6B9DB4,Pama-Nyungan,Australia
Kuuku-Ya'u [kuy],-12.583,143.083,#60A3B9,Pama-Nyungan,Australia
Kuvi [kxv],18.75,82.667,#25AE62,Dravidian,India
Kwaio [kwd],-8.917,161.083,#CB5A8A,Austronesian,Solomons
Kwangari [kwn],-18.5,20,#C8524F,Niger-Kongo,Namibia
Kwaza [xwa],-12,-60.5,#6B559B,Kwaza,Brazil
Kwerba [kwe],-2.167,138.5,#5352A1,Kwerba,Indonesia
Kwini [gww],-14.333,126.75,#794DB0,Wororan,Australia
Kyirong_Tibetan [bod-3],28.4,85.2,#2BB39E,Tibeto-Burman,China
Laal [gdm],10,17.67,#AD7960,Laal,Chad
Lachi [lbt],23.123,104.703,#E0D97A,Tai-Kadai,China
Ladakhi [lbj],34,78,#28A29D,Tibeto-Burman,India
Laguna [kjq],35.25,-107.33,#78568C,Keresan,USA
Lahu [lhu],20.75,100.75,#98B6B0,Tibeto-Burman,Myanmar
Lak [lbe],42.17,47.11,#4B805D,Nakh-Daghestanian,Russia
Lakhota [lkt],45,-102,#A8638C,Siouan,USA
Lakkia [lbc],24.08,110.17,#D5DB7F,Tai-Kadai,China
Lamaholot [slp],-8.25,123,#BA9C93,Austronesian,Indonesia
Lamani [lmn],18,77,#33AF49,Indo-European,India
Lamba [lam],9.8,10.5,#BA6A65,Niger-Kongo,Zambia
Lamjung Yohlmo [scp-2],28.33,84.42,#2FC2AD,Tibeto-Burman,Nepal
Lampung [ljp],-5,105,#E9A27A,Austronesian,Indonesia
Lango [laj],2,33,#C75C76,Nilo-Saharan,Uganda
Lani [dnw],-3.75,138.2,#5535CB,Trans New Guinea,Indonesia
Lao [lao],19,103,#DCDE7F,Tai-Kadai,Laos
Larantuka Malay [lrt],-8.33,123,#DACC91,Austronesian,Indonesia
Lardil [lbz],-16.5,139.5,#5C9A99,Tangkic,Australia
Larike [alo],-3.783,127.917,#C24DA6,Austronesian,Indonesia
Latvian [lav],56.8,24.1,#58800C,Indo-European,Latvia
Lavukaleve [lvk],-9,159,#7B559B,Solomons East Papuan,Solomons
Lele [lln],9.08,15.58,#AE747C,Afro-Asiatic,Chad
Lelepa [lpa],-17.64,168.18,#C96991,Austronesian,Vanuatu
Lenakel [tnl],-19.583,169.083,#C96A8C,Austronesian,Vanuatu
Lepcha [lep],27,88.2,#60D778,Tibeto-Burman,India
Leti [lti],-8.167,128.167,#CA589A,Austronesian,Indonesia
Lewo [lww],-16.667,168.333,#C454A2,Austronesian,Vanuatu
Lezgian [lez],41.58,47.78,#15935C,Nakh-Daghestanian,Russia
Lhasa_Tibetan [bod],29.65,91.14,#3FB8B0,Tibeto-Burman,China
Lhomi [lhm],27.75,87.4,#4AABA0,Tibeto-Burman,Nepal
Liko [kbo],3.75,30.5,#B44E57,Nilo-Saharan,Sudan
Limbu [lif],27.167,87.75,#387894,Tibeto-Burman,Nepal
Limilngan [lmc],-12.5,131.917,#8742BB,Darwin,Australia
Linda [liy],6,21,#C97D79,Adamawa-Ubangi,Central African Republic
Lingala [lin],1,18.5,#C34F62,Niger-Kongo,Democratic Republic of the Congo
Lisu [lis],19.5,98.75,#7FCA98,Tibeto-Burman,Myanmar
Lithuanian [lit],54.9,23.9,#517526,Indo-European,Lithuania
Logba [lgq],6.9,0.45,#C17161,Niger-Kongo,Ghana
Lokono [arw-2],6.07,-57.6,#6C5988,Arawak,Guyana
